# GEOBENCH fixed low-RAM map.
#
# Columns:
#   profiles  start   end     name                    overlay       notes
#
# Ranges are inclusive. A profile receives every row tagged `base` plus rows
# matching the profile name. Overlap is an error unless both rows share the same
# non-"-" overlay token. Overlay tokens document deliberate same-lifetime
# exclusions, for example module transfer buffers that are never live together.
#
# The default checker profile is `albireo`, matching the shipped no-ROM kernel.

base          0x1000  0x11FF  kcfg_text               -             GEOBENCH.CFG text buffer
base          0x1200  0x123C  kcfg_fields             -             parsed config outputs, memory string, backdrop drive
base          0x123D  0x123D  wm_open_flags           -             one-shot strict current-drive app open flag
base          0x123E  0x123F  kernel_scratch          -             dp_save/cb_tdrv transient kernel scratch
base          0x1240  0x1249  kernel_boot_time        -             GB_TIME_BUF, BOOT_SP, GB_KSIZE, BAR_HANDLER
base          0x124A  0x124E  wm_transient_scratch    -             ghost_on, window move/resize temporaries
base          0x124F  0x124F  titlebar_tile_ready     -             paged GBTITLE renderer/tile is installed in PAGE_DATA
base          0x1250  0x128F  backdrop_tile           -             BD_TILE, loaded 16x16 Mode-1 backdrop tile
base          0x1290  0x1290  backdrop_solid          -             BD_SOLID flag
base          0x1291  0x12D0  cursor_save_under       msx_pic_cursor hardware-pointer MSX builds reuse the start for extended picture state
base          0x12D1  0x12E8  window_title_scratch    -             copied window title
base          0x12E9  0x12F6  dir_name_scratch        -             formatted visible directory name
base          0x12F7  0x12FF  wm_call_scratch         -             WM descriptor/open/repaint scratch and drag source page
base          0x1300  0x1308  app_event_poll          -             APP_HANDLER, GB_MSG, POLL_MX/MY/FLAGS
base          0x1309  0x130F  wm_public_flags_pic     -             fullscreen/max flags and banked picture cells
base          0x1310  0x1334  menu_def                -             top-bar menu copy, max 4 titles
base          0x1335  0x1337  fs_drive_state          -             current drive, boot drive, system-load browse scratch
base          0x1338  0x133B  repaint_clip            -             WM damage clip (x,y,w,h), also read by desktop wallpaper blits
base          0x133C  0x133C  window_frame_pen        -             Edge pen, or a contrasting Text/Accent fallback when Edge equals Paper
base          0x1340  0x1347  repaint_handlers_legacy -             legacy repaint handler table
base          0x1348  0x134F  pic_buffer_state        -             second picture bank, loaded size, banked picture tile edit request, and page shadow
base          0x1350  0x144B  wm_state                -             WM table, z-order, drag state, app page pool, MW_RECT
base          0x144C  0x144F  fs_copy_xfer            -             chunked copy: FS_LOAD_OFS (24-bit) + FS_XFLAGS (chunk-read/append/chunk-save)
base          0x1450  0x1480  text_copy_scratch       scratch_1450  gb_text string copy
base          0x1481  0x1484  copy_dir_scratch        scratch_1450  cross-drive copy saved directory
base          0x1485  0x148F  launch_arg              -             pending 11-byte app launch argument
base          0x1490  0x149F  call_transfer_scratch   call_1490     fs read scratch / GBNET transfer selector block; M4 socket/state/rx cache at 0x149C..0x149F
base          0x14A0  0x14D1  draw_input_scratch      scratch_14a0  pointer, screen, text, and frame scratch cells
base          0x14D2  0x14FE  fs_request_state        -             FS dispatch vectors, current entry, request/load/save args
base          0x14FF  0x14FF  video_mode_hint         -             high bit valid, low bits screen mode; paged modules preserve fullscreen Mode 2
base          0x1500  0x16FF  cursor_sprite_picedit   -             loaded cursor sprite plus CPC PICEDIT helper in the sector-overread guard
base          0x1700  0x17FF  ui_transfer             modal_1700    GBUI request/result block
base          0x1700  0x1712  module_control_header   modal_1700    GBFAT/FLOPPYSV/M4SAVE control header; never live during GBUI
base          0x1710  0x174F  module_path_buffer      modal_1700    M4SAVE/FLOPPYSV card path prefix; never live during GBUI
base          0x1800  0x19FF  fs_sector_buffer        -             shared 512-byte sector buffer
base          0x1A00  0x21FF  fs_directory_buffer     fs_1c00       floppy directory buffer; IDE ROM state may overlay #1C00
base          0x2200  0x3DFF  module_data_buffer      module_data   GBFAT/FLOPPYSV/GBNET bulk transfer data
base          0x2200  0x2872  browser_pcw_transient   module_data   PCW Browser transport, protocol, render, and fallback buffers
base          0x2900  0x32FF  browser_source_buffers  module_data   Browser offline-read buffer and 2-KiB source-cache staging block
base          0x3300  0x3887  browser_transient       module_data   Browser protocol, render, and fallback buffers; above GBNET max I/O
base          0x3900  0x3AE6  browser_shared_state    module_data   Browser/GBUI/GBWEB/GBIMG cache, proxy, GET-form, request, resource, image/table scan/retry, live screen mode, viewport, and error state
base          0x3E00  0x3FFF  clipboard               -             shared clipboard length and data

msx           0x1291  0x1295  msx_picture_state       msx_pic_cursor third/fourth picture banks, packing mode, and source stride

# Non-ROM IDE recovery profile. Archived, but kept visible because it shares
# the same low-RAM pool and has historically been revived for tests.
ide           0x1250  0x1253  ide_lba_tmp             -             fs_fat32_core LBA scratch

# Optional GEOBENCH.ROM profiles. These are not part of the shipped default
# build, but documenting them here makes pressure around #1250..#12D7 visible.
rom,albireo_rom,ide_rom 0x1254  0x1254  gb_rom_num              -             selected GEOBENCH.ROM slot
rom,albireo_rom,ide_rom 0x1256  0x126A  fsam_read_state         -             ROM floppy read backend state
rom,albireo_rom,ide_rom 0x1270  0x1292  fsam_io_transfer        -             ROM storage I/O transfer area
albireo_rom   0x1293  0x12D8  albireo_rom_state       -             CH376 path, mount flag, save args, system-load flag
ide_rom       0x1C00  0x1C6F  ide_fat_rom_state       fs_1c00       FAT core/write/read state, overlaps fs_directory_buffer by design
